iyear_x,imonth_x,iday_x,extended_x,country_x,region_x,provstate_x,city_x,latitude_x,longitude_x,vicinity_x,crit2_x,crit3_x,doubtterr_x,multiple_x,success_x,suicide_x,attacktype1_x,targtype1_x,target1_x,natlty1_x,gname_x,weaptype1_x,property_x,ishostkid_x,INT_LOG_x,INT_IDEO_x,INT_ANY_x,key,iyear_y,imonth_y,iday_y,extended_y,country_y,region_y,provstate_y,city_y,latitude_y,longitude_y,vicinity_y,crit2_y,crit3_y,doubtterr_y,multiple_y,success_y,suicide_y,attacktype1_y,targtype1_y,target1_y,natlty1_y,gname_y,weaptype1_y,property_y,ishostkid_y,INT_LOG_y,INT_IDEO_y,INT_ANY_y,label
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,14,5,17,0,38,2,323,613,14.135781,-89.029769,0,1,1,0,0,1,0,3,21,7505,54,11,6,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,14,3,12,0,5,2,5,341,14.622869,-90.529068,0,1,1,-9,0,1,0,6,8,7282,65,0,13,0,1,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,16,8,2,0,72,2,566,3394,12.267322,-85.382162,0,1,1,0,0,1,0,2,14,-1,72,15,5,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,21,10,31,0,38,2,86,165,13.69288,-89.199161,0,1,0,1,0,1,0,2,4,19080,54,11,5,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,19,9,25,0,38,2,86,165,13.69288,-89.199161,0,1,1,0,0,0,0,1,3,4747,54,11,5,0,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,17,12,14,0,38,2,323,1105,14.169631,-89.102686,0,1,1,0,0,1,0,2,14,7234,54,11,5,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,26,3,10,0,54,2,136,281,18.527716,-72.33284,0,1,1,-9,0,1,0,1,3,24547,12,0,5,0,0,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,11,10,23,0,38,2,86,165,13.69288,-89.199161,0,1,1,-9,0,1,0,3,1,5709,54,0,6,1,0,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,20,5,1,0,38,2,86,165,13.69288,-89.199161,0,1,1,0,1,1,0,3,21,5196,54,11,6,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,14,8,23,0,43,2,366,940,15.50167,-88.02774,0,1,1,-9,0,1,0,3,14,7840,104,0,6,1,0,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,11,8,10,0,38,2,86,1045,13.736111,-89.181389,0,1,0,1,0,1,0,2,4,4011,54,0,5,1,0,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,18,10,6,0,38,2,86,165,13.69288,-89.199161,0,1,0,1,0,1,0,3,4,14035,54,11,6,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,11,3,25,0,5,2,5,5,14.622869,-90.529068,0,1,1,-9,0,1,0,6,1,5025,65,0,13,0,1,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,4,2,0,0,38,2,126,246,13.986667,-89.681111,0,1,1,0,0,1,0,3,3,14,54,0,6,1,0,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,18,11,22,0,38,2,325,1240,13.732222,-89.374167,0,1,1,0,1,1,0,3,2,1631,54,11,6,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,19,5,22,0,38,2,203,2171,13.420304,-88.571307,0,1,0,1,0,1,0,2,4,2973,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,19,2,16,0,38,2,365,936,13.64121,-88.785423,0,1,0,1,0,1,0,2,4,3857,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,10,4,30,0,5,2,5,5,14.622869,-90.529068,0,1,1,-9,0,1,0,1,1,3953,65,0,5,0,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,13,12,28,0,38,2,323,2120,13.25417,-88.00417,0,1,1,0,0,1,0,3,19,7035,54,11,6,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,23,8,1,0,54,2,136,275,18.527716,-72.33284,0,1,1,0,0,0,0,1,2,21982,12,0,13,0,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,19,8,12,0,5,2,295,0,14.191091,-90.982067,0,1,0,1,0,1,0,2,4,2973,65,0,5,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,24,6,20,0,84,2,524,1051,10.666667,-61.516667,0,1,1,0,0,1,0,1,2,22833,78,0,5,0,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,13,1,17,0,38,2,270,935,13.5,-88.866667,0,1,1,-9,0,1,0,7,1,5991,54,0,8,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,14,1,14,0,38,2,425,1526,13.90668,-88.157021,0,1,1,0,0,1,0,2,14,3428,54,11,5,1,1,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,10,7,8,0,91,2,454,1261,17.497713,-88.186654,0,1,1,0,0,1,0,1,2,4212,111,0,13,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,20,11,27,0,38,2,86,165,13.69288,-89.199161,0,1,1,0,1,1,0,3,21,17481,54,11,6,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,6,6,15,0,5,2,5,5,14.622869,-90.529068,0,1,1,0,0,1,0,1,2,1288,65,0,5,0,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,16,8,27,0,38,2,323,1283,14.15695,-89.011475,0,1,0,1,0,1,0,3,4,4011,54,11,6,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,19,5,16,0,38,2,86,165,13.69288,-89.199161,0,1,1,0,0,1,0,1,2,14954,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,26,6,9,0,5,2,5,8806,14.622869,-90.529068,0,1,1,-9,0,1,0,4,1,24804,28,0,5,0,0,-9,-9,1,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,16,8,19,0,72,2,269,866,11.978037,-86.376493,1,1,1,0,0,0,0,3,19,10483,72,15,6,0,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,19,1,30,0,38,2,323,2242,14.088915,-88.957833,0,1,1,0,0,1,0,2,14,14486,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,13,3,15,0,38,2,86,165,13.69288,-89.199161,0,1,1,-9,0,1,0,5,10,6168,54,0,5,1,1,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,21,3,15,0,38,2,323,1283,14.15695,-89.011475,0,1,0,1,0,1,0,2,4,3011,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,11,5,21,0,38,2,423,1566,0.0,0.0,0,1,0,1,0,1,0,2,4,2714,54,0,5,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,13,7,13,0,5,2,460,1925,15.365662,-90.47916,0,1,1,0,0,1,0,2,14,6523,65,0,5,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,19,1,6,0,38,2,22,5066,0.0,0.0,0,1,0,1,0,1,0,2,4,3857,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,8,2,6,0,38,2,86,165,13.69288,-89.199161,0,1,1,0,0,1,0,1,2,2046,54,0,5,0,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,26,11,20,0,43,2,102,207,14.0833,-87.2167,0,1,1,0,0,1,0,3,7,804,76,0,6,1,0,-9,-9,1,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,11,12,14,0,38,2,203,449,13.344322,-88.437463,0,1,1,0,0,1,0,2,14,5856,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,21,7,27,0,38,2,196,0,13.445104,-88.246118,0,1,0,1,0,1,0,2,4,5281,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,12,1,31,0,72,2,22,3619,0.0,0.0,0,1,0,1,0,1,0,2,4,4011,72,15,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,13,1,17,0,5,2,421,1786,14.913611,-90.522778,0,1,0,1,0,1,0,2,4,4011,65,0,5,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,23,3,31,0,5,2,460,1925,15.365662,-90.47916,0,1,1,-9,0,1,0,2,10,21521,0,0,9,0,0,-9,-9,1,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,10,9,12,1,38,2,86,165,13.69288,-89.199161,0,1,1,-9,0,1,0,6,3,4421,54,0,13,0,1,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,18,11,12,0,38,2,196,1433,13.719546,-88.360633,0,1,0,1,0,1,0,2,4,14160,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,13,8,5,0,38,2,325,1344,13.876111,-89.359722,0,1,1,-9,0,1,0,7,1,6629,54,0,5,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,11,8,10,0,38,2,365,1132,13.536835,-88.780584,0,1,1,0,0,1,0,3,19,2333,54,0,6,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,11,1,21,0,38,2,86,1439,0.0,0.0,0,1,1,0,0,1,0,2,3,2083,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,21,7,13,0,38,2,412,1235,13.874575,-88.627779,0,1,1,0,0,1,0,3,21,18482,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,14,5,17,0,38,2,323,613,14.135781,-89.029769,0,1,1,0,0,1,0,3,21,7505,54,11,6,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,14,3,12,0,5,2,5,341,14.622869,-90.529068,0,1,1,-9,0,1,0,6,8,7282,65,0,13,0,1,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,16,8,2,0,72,2,566,3394,12.267322,-85.382162,0,1,1,0,0,1,0,2,14,-1,72,15,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,21,10,31,0,38,2,86,165,13.69288,-89.199161,0,1,0,1,0,1,0,2,4,19080,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,19,9,25,0,38,2,86,165,13.69288,-89.199161,0,1,1,0,0,0,0,1,3,4747,54,11,5,0,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,17,12,14,0,38,2,323,1105,14.169631,-89.102686,0,1,1,0,0,1,0,2,14,7234,54,11,5,1,0,0,0,0,0
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,26,3,10,0,54,2,136,281,18.527716,-72.33284,0,1,1,-9,0,1,0,1,3,24547,12,0,5,0,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,11,10,23,0,38,2,86,165,13.69288,-89.199161,0,1,1,-9,0,1,0,3,1,5709,54,0,6,1,0,-9,-9,-9,1
14,10,26,0,17,1,591,2596,19.41362,-102.05278,0,1,1,0,0,0,0,1,2,8075,39,0,6,0,0,-9,-9,-9,0,20,5,1,0,38,2,86,165,13.69288,-89.199161,0,1,1,0,1,1,0,3,21,5196,54,11,6,1,0,0,0,0,0
